country,city,latitude,longitude,hemisphere,temp,humidity,clouds,wind,temp_max
IN,rawatbhata,24.933332999999998,75.583333,northern,72.7,20.0,0.0,1.59,72.7
MX,fresnillo,23.166667,-102.883333,northern,46.4,61.0,5.0,4.23,46.4
GT,san francisco,16.8,-89.93333299999999,northern,72.68,97.0,92.0,3.74,72.68
DO,san ignacio de sabaneta,19.466666699999998,-71.33333329999999,northern,82.99,78.0,100.0,8.99,82.99
MX,tierra colorada,17.166667,-99.583333,northern,78.8,83.0,40.0,3.04,78.8
IN,karimnagar,18.433332999999998,79.15,northern,72.99,67.0,0.0,5.21,72.99
PH,bacnor,16.983333,121.63333300000001,northern,71.35,84.0,100.0,8.72,71.35
US,hialeah,25.8572222,-80.2783333,northern,81.07,94.0,1.0,3.36,84.99
CN,xiaolan,22.673810999999997,113.231874,northern,72.97,85.0,0.0,1.01,73.99
TW,sanhsia,24.9333333,121.36666670000001,northern,72.59,64.0,75.0,16.11,75.2
MX,benito juarez,19.233333,-100.466667,northern,64.99,71.0,0.0,1.01,64.99
IN,gandevi,20.816667000000002,72.983333,northern,80.6,69.0,3.0,5.82,80.6
US,canovanas,18.381111100000002,-65.9016667,northern,85.32,70.0,40.0,14.99,86.0
